# ============================================================
# 豫园知识库文本
# ============================================================
# 格式：每行一条知识，以 ":" 分隔主题和内容
# 建议按「景点名: 描述」的格式组织，便于分块

# --- 玉玲珑 ---
玉玲珑: 豫园镇园之宝，位于玉华堂前。太湖石堆砌，高约5米。石身布满穹洞，透光漏风，故名「玲珑」。相传为宋代遗物，姿态秀美，堪称假山之冠。
玉玲珑石: 太湖石名品，色泽青灰，形态玲珑。孔洞遍布，可透光影。历经千年风霜，是豫园最具代表性的奇石。
玉玲珑位置: 位于豫园玉华堂前方庭院中央，是游客必到的打卡景点。

# --- 左铁狮 ---
左铁狮: 豫园大门左侧有一对铸铁蹲狮，此为左侧雄狮。左狮踩绣球，象征财源滚滚。铸铁材质，造型古朴，为清代遗存。
左雄狮: 铸铁蹲狮，左侧位置。脚踩绣球，昂首远眺。体态雄健，铸工精美，守护豫园百年。

# --- 右铁狮 ---
右铁狮: 豫园大门右侧雌狮，口含锦穗，与左狮相对而望。形态温婉，铸铁材质，为清代遗存双狮之一。
右雌狮: 铸铁蹲狮，右侧位置。口衔绣球，神情肃穆。与左狮对称分布，寓意阴阳平衡。

# --- 龙墙 ---
龙墙: 豫园外围石刻巨龙，蜿蜒盘旋于粉墙之上。龙头高昂，龙鳞层叠，气势恢宏。龙身全长约数十米，是豫园的标志性景观。
豫园龙墙: 依墙而建的巨龙雕塑，灰瓦为鳞，青墙为体。龙头回首，龙尾高翘，寓意吉祥如意，是游客拍照的热门背景。

# --- 匾额 ---
匾额-玉华堂: 玉华堂内高悬匾额一方，题字苍劲有力。堂内陈设典雅，曾是主人会客之所。
匾额-点春堂: 点春堂悬有匾额，记述堂名由来。此处曾是文人雅集之地，堂前花木扶疏，春意盎然。

# --- 亭台 ---
点春堂: 豫园主要建筑之一，供奉花神。堂名取自杜甫诗句「漏泻春光点春堂」。建筑精巧，雕梁画栋，是豫园的核心景点。
得月楼: 豫园水畔楼阁，取「近水楼台先得月」之意。二层木构，飞檐翘角，倒映水中，是赏月佳处。
九狮亭: 亭顶梁上雕有九只小狮子，形态各异，栩栩如生。亭以九狮为饰，寓意长久吉祥。

# --- 建筑特色 ---
豫园门楼: 豫园正门为砖雕门楼，额书「豫园」二字。门楼飞檐翘角，砖雕精美，是进入豫园的第一道风景。
豫园长廊: 园内曲折长廊连接各景点，廊柱间设有漏窗。行走廊下，可避雨遮阳，又能欣赏两侧景色。
豫园石桥: 园中石桥横跨池水，桥栏雕花精美。桥下锦鲤游弋，是赏景休憩的好去处。

# --- 历史背景 ---
豫园历史: 豫园始建于明嘉靖年间，由四川布政使潘允端所建，取「豫悦老亲」之意，历时二十余年建成私家园林。
豫园得名: 园名「豫园」中的「豫」字，意为「安泰」、「愉悦」，寄托了建园者让父母安享晚年的孝心。
豫园变迁: 清代以后豫园逐渐荒废，后经多次重修。1956年对外开放，1961年被列为全国重点文物保护单位。

# --- 花木植被 ---
豫园古树: 园内有多株百年古树，银杏、香樟郁郁葱葱。古树与假山相映成趣，增添园林古韵。
豫园盆景: 园内陈列有各式精品盆景，有松柏、有梅花，姿态万千，体现了江南园林的小中见大之美。
